inventory_id,product_id,date,stock_level,reorder_point
1,1,2023-12-01,169,30
2,1,2023-12-02,160,30
3,1,2023-12-03,152,30
4,1,2023-12-04,147,30
5,1,2023-12-05,141,30
6,1,2023-12-06,137,30
7,1,2023-12-07,135,30
8,1,2023-12-08,135,30
9,1,2023-12-09,130,30
10,1,2023-12-10,121,30
11,1,2023-12-11,118,30
12,1,2023-12-12,118,30
13,1,2023-12-13,114,30
14,1,2023-12-14,114,30
15,1,2023-12-15,107,30
16,1,2023-12-16,99,30
17,1,2023-12-17,94,30
18,1,2023-12-18,85,30
19,1,2023-12-19,82,30
20,1,2023-12-20,80,30
21,1,2023-12-21,79,30
22,1,2023-12-22,76,30
23,1,2023-12-23,66,30
24,1,2023-12-24,63,30
25,1,2023-12-25,59,30
26,1,2023-12-26,51,30
27,1,2023-12-27,51,30
28,1,2023-12-28,48,30
29,1,2023-12-29,39,30
30,1,2023-12-30,33,30
31,2,2023-12-01,138,30
32,2,2023-12-02,136,30
33,2,2023-12-03,133,30
34,2,2023-12-04,124,30
35,2,2023-12-05,119,30
36,2,2023-12-06,114,30
37,2,2023-12-07,105,30
38,2,2023-12-08,105,30
39,2,2023-12-09,100,30
40,2,2023-12-10,91,30
41,2,2023-12-11,82,30
42,2,2023-12-12,80,30
43,2,2023-12-13,71,30
44,2,2023-12-14,68,30
45,2,2023-12-15,61,30
46,2,2023-12-16,53,30
47,2,2023-12-17,49,30
48,2,2023-12-18,47,30
49,2,2023-12-19,40,30
50,2,2023-12-20,40,30
51,2,2023-12-21,39,30
52,2,2023-12-22,39,30
53,2,2023-12-23,36,30
54,2,2023-12-24,27,30
55,2,2023-12-25,24,30
56,2,2023-12-26,24,30
57,2,2023-12-27,96,30
58,2,2023-12-28,96,30
59,2,2023-12-29,91,30
60,2,2023-12-30,82,30
61,3,2023-12-01,99,30
62,3,2023-12-02,94,30
63,3,2023-12-03,92,30
64,3,2023-12-04,87,30
65,3,2023-12-05,87,30
66,3,2023-12-06,87,30
67,3,2023-12-07,85,30
68,3,2023-12-08,76,30
69,3,2023-12-09,74,30
70,3,2023-12-10,73,30
71,3,2023-12-11,65,30
72,3,2023-12-12,60,30
73,3,2023-12-13,59,30
74,3,2023-12-14,54,30
75,3,2023-12-15,44,30
76,3,2023-12-16,38,30
77,3,2023-12-17,29,30
78,3,2023-12-18,28,30
79,3,2023-12-19,23,30
80,3,2023-12-20,89,30
81,3,2023-12-21,87,30
