order_id,order_date,supplier_id,product_id,order_quantity,expected_delivery_date
1,2023-11-24,4,2,199,2023-12-13
2,2023-05-21,8,15,45,2023-06-09
3,2023-02-22,18,6,161,2023-03-20
4,2023-08-05,2,2,33,2023-08-11
5,2023-04-22,8,33,164,2023-05-11
6,2023-01-14,18,13,193,2023-02-09
7,2023-11-29,18,27,66,2023-12-25
8,2023-08-18,19,18,11,2023-09-01
9,2023-03-23,14,22,81,2023-04-04
10,2023-03-21,7,49,96,2023-04-02
11,2023-02-22,3,25,34,2023-03-18
12,2023-07-03,12,39,77,2023-07-11
13,2023-01-23,15,35,41,2023-01-31
14,2023-07-13,3,36,85,2023-08-06
15,2023-11-18,20,24,157,2023-11-26
16,2023-04-09,3,3,179,2023-05-03
17,2023-04-27,10,6,69,2023-05-15
18,2023-02-21,13,18,126,2023-03-15
19,2023-11-22,12,11,104,2023-11-30
20,2023-07-01,7,43,78,2023-07-13
21,2023-12-26,3,39,172,2024-01-19
22,2023-03-29,18,47,72,2023-04-24
23,2023-03-25,15,25,79,2023-04-02
24,2023-11-24,18,15,185,2023-12-20
25,2023-06-16,2,15,18,2023-06-22
26,2023-06-11,13,18,26,2023-07-03
27,2023-04-19,19,46,90,2023-05-03
28,2023-04-19,16,26,174,2023-04-25
29,2023-08-23,5,17,45,2023-09-03
30,2023-05-07,18,35,77,2023-06-02
31,2023-10-27,14,38,112,2023-11-08
32,2023-07-05,8,9,140,2023-07-24
33,2023-09-10,3,49,22,2023-10-04
34,2023-02-26,5,41,50,2023-03-09
35,2023-12-15,14,39,26,2023-12-27
36,2023-07-17,13,39,129,2023-08-08
37,2023-09-28,9,36,12,2023-10-05
38,2023-12-15,4,44,147,2024-01-03
39,2023-05-17,11,8,85,2023-06-07
40,2023-08-11,6,30,10,2023-08-27
41,2023-05-15,17,49,55,2023-05-25
42,2023-09-17,4,41,86,2023-10-06
43,2023-11-24,17,39,60,2023-12-04
44,2023-03-20,12,49,51,2023-03-28
45,2023-10-04,17,1,163,2023-10-14
46,2023-06-15,16,2,38,2023-06-21
47,2023-07-05,10,16,24,2023-07-23
48,2023-05-04,19,6,31,2023-05-18
49,2023-09-06,3,49,146,2023-09-30
50,2023-03-06,5,43,131,2023-03-17
51,2023-10-09,6,17,145,2023-10-25
52,2023-11-07,14,14,148,2023-11-19
53,2023-12-20,7,46,89,2024-01-01
54,2023-07-24,12,29,142,2023-08-01
55,2023-08-20,4,16,67,2023-09-08
56,2023-02-02,11,2,160,2023-02-23
57,2023-10-11,8,38,66,2023-10-30
58,2023-01-04,3,46,171,2023-01-28
59,2023-01-31,8,5,18,2023-02-19
60,2023-06-19,3,33,70,2023-07-13
61,2023-05-23,16,14,148,2023-05-29
62,2023-03-09,19,37,131,2023-03-23
63,2023-05-05,16,27,58,2023-05-11
64,2023-02-18,4,43,120,2023-03-09
65,2023-07-01,14,27,129,2023-07-13
66,2023-01-28,4,4,113,2023-02-16
67,2023-06-23,4,16,59,2023-07-12
68,2023-04-08,18,29,45,2023-05-04
69,2023-08-05,6,18,128,2023-08-21
70,2023-05-08,3,29,150,2023-06-01
71,2023-02-20,2,42,148,2023-02-26
72,2023-01-08,3,49,70,2023-02-01
73,2023-03-27,14,32,133,2023-04-08
74,2023-04-20,13,4,52,2023-05-12
75,2023-07-14,1,25,77,2023-08-08
76,2023-08-21,10,28,188,2023-09-08
77,2023-10-12,16,10,58,2023-10-18
78,2023-06-01,7,4,158,2023-06-13
79,2023-10-05,2,48,90,2023-10-11
80,2023-01-30,2,38,132,2023-02-05
81,2023-09-15,17,11,24,2023-09-25
82,2023-09-18,3,12,27,2023-10-12
83,2023-11-01,3,44,70,2023-11-25
84,2023-07-26,4,37,73,2023-08-14
85,2023-10-24,20,3,168,2023-11-01
86,2023-02-11,14,43,159,2023-02-23
87,2023-10-17,17,21,76,2023-10-27
88,2023-04-15,11,16,77,2023-05-06
89,2023-07-22,5,43,175,2023-08-02
90,2023-06-03,15,21,28,2023-06-11
91,2023-01-05,15,40,154,2023-01-13
92,2023-02-21,3,35,64,2023-03-17
93,2023-09-17,9,9,99,2023-09-24
94,2023-02-05,8,24,82,2023-02-24
95,2023-03-22,15,35,190,2023-03-30
96,2023-06-04,20,42,145,2023-06-12
97,2023-01-05,18,20,179,2023-01-31
98,2023-02-23,5,17,39,2023-03-06
99,2023-02-24,18,10,79,2023-03-22
100,2023-05-25,20,14,193,2023-06-02
101,2023-06-25,7,44,172,2023-07-07
102,2023-05-16,17,32,74,2023-05-26
103,2023-01-27,3,41,118,2023-02-20
104,2023-05-22,2,1,95,2023-05-28
105,2023-03-08,9,11,199,2023-03-15
106,2023-08-15,18,46,119,2023-09-10
107,2023-10-15,1,8,29,2023-11-09
108,2023-12-20,5,35,19,2023-12-31
109,2023-07-09,19,36,47,2023-07-23
110,2023-08-09,5,3,88,2023-08-20
111,2023-07-06,2,23,63,2023-07-12
112,2023-12-16,8,43,36,2024-01-04
113,2023-07-01,18,27,168,2023-07-27
114,2023-03-21,8,11,55,2023-04-09
115,2023-07-31,1,12,198,2023-08-25
116,2023-06-20,14,43,198,2023-07-02
117,2023-05-08,9,11,189,2023-05-15
118,2023-02-25,13,3,130,2023-03-19
119,2023-04-24,7,30,99,2023-05-06
120,2023-06-06,8,15,16,2023-06-25
121,2023-12-04,7,26,94,2023-12-16
122,2023-05-23,3,50,81,2023-06-16
123,2023-06-29,17,26,183,2023-07-09
124,2023-10-02,11,2,39,2023-10-23
125,2023-05-14,6,38,77,2023-05-30
126,2023-01-20,4,39,121,2023-02-08
127,2023-06-26,11,28,165,2023-07-17
128,2023-09-19,4,25,157,2023-10-08
129,2023-04-08,9,3,191,2023-04-15
130,2023-08-12,1,34,147,2023-09-06
131,2023-12-18,7,24,120,2023-12-30
132,2023-02-05,11,40,90,2023-02-26
133,2023-12-06,4,47,86,2023-12-25
134,2023-09-17,10,43,114,2023-10-05
135,2023-06-17,13,45,85,2023-07-09
136,2023-10-11,5,13,117,2023-10-22
137,2023-12-07,13,44,54,2023-12-29
138,2023-11-12,19,20,113,2023-11-26
139,2023-10-08,1,20,83,2023-11-02
140,2023-04-18,14,38,165,2023-04-30
141,2023-12-02,11,30,123,2023-12-23
142,2023-08-15,7,33,131,2023-08-27
143,2023-03-28,3,19,141,2023-04-21
144,2023-12-06,20,22,33,2023-12-14
145,2023-05-01,10,15,60,2023-05-19
146,2023-03-17,1,3,72,2023-04-11
147,2023-09-01,20,50,28,2023-09-09
148,2023-08-22,14,41,157,2023-09-03
149,2023-04-10,13,32,112,2023-05-02
150,2023-05-05,5,42,186,2023-05-16
151,2023-01-03,4,50,118,2023-01-22
152,2023-04-23,6,45,142,2023-05-09
153,2023-08-26,2,36,73,2023-09-01
154,2023-03-04,15,9,128,2023-03-12
155,2023-12-08,17,36,162,2023-12-18
156,2023-06-12,15,40,194,2023-06-20
157,2023-09-16,14,36,124,2023-09-28
158,2023-03-23,16,29,76,2023-03-29
159,2023-05-07,9,50,143,2023-05-14
160,2023-09-06,8,18,122,2023-09-25
161,2023-02-09,10,16,79,2023-02-27
162,2023-06-21,11,35,30,2023-07-12
163,2023-03-12,5,15,108,2023-03-23
164,2023-12-22,5,46,64,2024-01-02
165,2023-02-02,14,27,94,2023-02-14
166,2023-10-05,15,27,25,2023-10-13
167,2023-04-16,14,25,159,2023-04-28
168,2023-12-23,1,49,157,2024-01-17
169,2023-07-14,16,1,100,2023-07-20
170,2023-06-02,13,27,147,2023-06-24
171,2023-10-07,20,15,134,2023-10-15
172,2023-04-23,9,28,134,2023-04-30
173,2023-01-15,13,22,181,2023-02-06
174,2023-12-14,13,47,52,2024-01-05
175,2023-08-28,5,40,146,2023-09-08
176,2023-01-14,13,38,154,2023-02-05
177,2023-12-06,1,6,174,2023-12-31
178,2023-08-08,5,30,56,2023-08-19
179,2023-01-26,9,25,93,2023-02-02
180,2023-04-19,15,21,96,2023-04-27
181,2023-07-14,9,49,117,2023-07-21
182,2023-05-10,3,31,14,2023-06-03
183,2023-10-04,2,23,67,2023-10-10
184,2023-11-29,3,50,176,2023-12-23
185,2023-01-21,1,16,61,2023-02-15
186,2023-01-11,20,10,71,2023-01-19
187,2023-03-06,16,43,39,2023-03-12
188,2023-10-16,7,30,189,2023-10-28
189,2023-05-12,12,11,165,2023-05-20
190,2023-11-07,4,50,51,2023-11-26
191,2023-06-09,4,38,16,2023-06-28
192,2023-06-09,19,44,106,2023-06-23
193,2023-07-23,7,5,161,2023-08-04
194,2023-12-20,8,7,188,2024-01-08
195,2023-06-04,20,8,154,2023-06-12
196,2023-01-22,12,35,119,2023-01-30
