product_id,product_name,category,unit_cost
1,Product_1,Clothing,356.36
2,Product_2,Electronics,367.21
3,Product_3,Food,387.92
4,Product_4,Clothing,46.28
5,Product_5,Clothing,185.65
6,Product_6,Furniture,66.78
7,Product_7,Clothing,432.92
8,Product_8,Clothing,315.42
9,Product_9,Clothing,172.14
10,Product_10,Furniture,41.14
11,Product_11,Clothing,162.38
12,Product_12,Food,169.34
13,Product_13,Furniture,367.51
14,Product_14,Food,322.4
15,Product_15,Furniture,444.73
16,Product_16,Clothing,241.39
17,Product_17,Food,68.6
18,Product_18,Furniture,359.49
19,Product_19,Electronics,382.78
20,Product_20,Clothing,285.03
21,Product_21,Furniture,387.77
22,Product_22,Electronics,251.96
23,Product_23,Furniture,266.14
24,Product_24,Electronics,219.5
25,Product_25,Clothing,22.46
26,Product_26,Food,62.87
27,Product_27,Electronics,25.4
28,Product_28,Furniture,321.84
29,Product_29,Clothing,164.03
30,Product_30,Electronics,259.2
31,Product_31,Furniture,454.71
32,Product_32,Furniture,132.15
33,Product_33,Furniture,211.09
34,Product_34,Electronics,380.22
35,Product_35,Electronics,122.11
36,Product_36,Electronics,47.72
37,Product_37,Food,151.98
38,Product_38,Electronics,89.0
39,Product_39,Electronics,465.55
40,Product_40,Electronics,405.98
41,Product_41,Food,320.37
42,Product_42,Electronics,437.02
43,Product_43,Furniture,403.8
44,Product_44,Electronics,101.42
45,Product_45,Furniture,447.35
46,Product_46,Furniture,274.28
47,Product_47,Furniture,405.65
48,Product_48,Food,449.08
49,Product_49,Food,165.82
50,Product_50,Food,63.93
