shipment_id,order_id,actual_delivery_date,shipping_cost,delay_days,status
1,1,2023-12-16,289.11,3,Delayed
2,2,2023-06-09,376.74,0,On-time
3,3,2023-03-19,195.33,-1,Early
4,4,2023-08-09,245.08,-2,Early
5,5,2023-05-18,61.41,7,Delayed
6,6,2023-02-11,242.74,2,On-time
7,7,2024-01-03,127.98,9,Delayed
8,8,2023-08-30,157.9,-2,Early
9,9,2023-04-09,347.09,5,Delayed
10,10,2023-04-04,282.51,2,On-time
11,11,2023-03-20,238.82,2,On-time
12,12,2023-07-20,121.39,9,Delayed
13,13,2023-02-03,102.23,3,Delayed
14,14,2023-08-08,190.14,2,On-time
15,15,2023-11-27,57.72,1,On-time
16,16,2023-05-10,263.06,7,Delayed
17,17,2023-05-13,342.4,-2,Early
18,18,2023-03-22,335.79,7,Delayed
19,19,2023-11-29,56.89,-1,Early
20,20,2023-07-13,435.42,0,On-time
21,21,2024-01-21,327.13,2,On-time
22,22,2023-05-03,440.24,9,Delayed
23,23,2023-04-12,354.73,10,Delayed
24,24,2023-12-20,256.21,0,On-time
25,25,2023-06-24,331.67,2,On-time
26,26,2023-07-06,457.41,3,Delayed
27,27,2023-05-12,146.57,9,Delayed
28,28,2023-04-24,328.21,-1,Early
29,29,2023-09-07,193.54,4,Delayed
30,30,2023-06-09,203.28,7,Delayed
31,31,2023-11-08,103.17,0,On-time
32,32,2023-07-26,471.49,2,On-time
33,33,2023-10-11,411.57,7,Delayed
34,34,2023-03-15,240.56,6,Delayed
35,35,2024-01-03,495.73,7,Delayed
36,36,2023-08-09,399.39,1,On-time
37,37,2023-10-12,302.84,7,Delayed
38,38,2024-01-12,387.89,9,Delayed
39,39,2023-06-13,219.98,6,Delayed
40,40,2023-08-25,421.91,-2,Early
41,41,2023-05-28,94.99,3,Delayed
42,42,2023-10-07,457.42,1,On-time
43,43,2023-12-13,480.56,9,Delayed
44,44,2023-03-29,334.33,1,On-time
45,45,2023-10-16,321.1,2,On-time
46,46,2023-06-22,388.57,1,On-time
47,47,2023-07-29,101.06,6,Delayed
48,48,2023-05-20,75.9,2,On-time
49,49,2023-10-07,449.47,7,Delayed
50,50,2023-03-27,485.89,10,Delayed
51,51,2023-11-02,328.2,8,Delayed
52,52,2023-11-22,365.44,3,Delayed
53,53,2024-01-08,451.35,7,Delayed
54,54,2023-07-31,88.18,-1,Early
55,55,2023-09-08,438.41,0,On-time
56,56,2023-02-28,476.26,5,Delayed
57,57,2023-11-05,207.6,6,Delayed
58,58,2023-02-06,399.72,9,Delayed
59,59,2023-02-24,161.93,5,Delayed
60,60,2023-07-13,271.68,0,On-time
61,61,2023-05-28,75.34,-1,Early
62,62,2023-04-03,420.26,11,Delayed
63,63,2023-05-17,312.52,6,Delayed
64,64,2023-03-15,178.57,6,Delayed
65,65,2023-07-18,246.35,5,Delayed
66,66,2023-02-23,486.45,7,Delayed
67,67,2023-07-14,466.09,2,On-time
68,68,2023-05-13,299.23,9,Delayed
69,69,2023-08-22,124.8,1,On-time
70,70,2023-05-30,254.54,-2,Early
71,71,2023-02-28,222.89,2,On-time
72,72,2023-02-05,176.43,4,Delayed
73,73,2023-04-13,98.04,5,Delayed
74,74,2023-05-14,134.65,2,On-time
75,75,2023-08-15,153.23,7,Delayed
76,76,2023-09-17,488.48,9,Delayed
77,77,2023-10-26,291.24,8,Delayed
78,78,2023-06-11,321.25,-2,Early
79,79,2023-10-13,477.41,2,On-time
80,80,2023-02-07,238.21,2,On-time
81,81,2023-10-02,298.21,7,Delayed
82,82,2023-10-14,219.41,2,On-time
83,83,2023-11-23,493.38,-2,Early
84,84,2023-08-22,221.4,8,Delayed
85,85,2023-11-06,306.09,5,Delayed
86,86,2023-02-21,236.67,-2,Early
87,87,2023-10-25,83.91,-2,Early
88,88,2023-05-17,499.87,11,Delayed
89,89,2023-08-10,313.32,8,Delayed
90,90,2023-06-18,432.34,7,Delayed
91,91,2023-01-11,142.27,-2,Early
92,92,2023-03-20,322.78,3,Delayed
93,93,2023-09-22,328.16,-2,Early
94,94,2023-03-05,59.98,9,Delayed
95,95,2023-04-06,397.54,7,Delayed
96,96,2023-06-20,417.37,8,Delayed
97,97,2023-02-09,444.49,9,Delayed
98,98,2023-03-12,266.02,6,Delayed
99,99,2023-03-28,329.14,6,Delayed
100,100,2023-06-03,456.42,1,On-time
101,101,2023-07-21,323.64,14,Delayed
102,102,2023-05-25,246.86,-1,Early
103,103,2023-02-19,281.3,-1,Early
104,104,2023-06-07,184.08,10,Delayed
105,105,2023-03-24,477.28,9,Delayed
106,106,2023-09-11,428.94,1,On-time
107,107,2023-11-07,256.61,-2,Early
108,108,2023-12-30,206.34,-1,Early
109,109,2023-07-31,203.7,8,Delayed
110,110,2023-08-26,313.14,6,Delayed
111,111,2023-07-20,338.39,8,Delayed
112,112,2024-01-09,235.25,5,Delayed
113,113,2023-07-27,487.9,0,On-time
114,114,2023-04-16,419.81,7,Delayed
115,115,2023-08-24,129.65,-1,Early
116,116,2023-07-04,290.49,2,On-time
117,117,2023-05-24,213.92,9,Delayed
118,118,2023-03-26,67.69,7,Delayed
119,119,2023-05-12,359.5,6,Delayed
120,120,2023-07-02,464.39,7,Delayed
121,121,2023-12-14,412.79,-2,Early
122,122,2023-06-14,493.82,-2,Early
123,123,2023-07-14,328.21,5,Delayed
124,124,2023-10-27,374.23,4,Delayed
125,125,2023-06-06,163.6,7,Delayed
126,126,2023-02-12,430.0,4,Delayed
127,127,2023-07-25,98.23,8,Delayed
128,128,2023-10-15,228.72,7,Delayed
129,129,2023-04-23,132.03,8,Delayed
130,130,2023-09-10,145.15,4,Delayed
131,131,2024-01-06,154.95,7,Delayed
132,132,2023-02-27,209.8,1,On-time
133,133,2023-12-31,89.11,6,Delayed
134,134,2023-10-08,385.45,3,Delayed
135,135,2023-07-07,220.45,-2,Early
136,136,2023-10-24,340.66,2,On-time
137,137,2023-12-28,274.21,-1,Early
138,138,2023-11-29,156.75,3,Delayed
139,139,2023-11-05,214.41,3,Delayed
140,140,2023-05-03,89.55,3,Delayed
141,141,2023-12-30,86.11,7,Delayed
142,142,2023-08-27,363.63,0,On-time
143,143,2023-04-26,229.04,5,Delayed
144,144,2023-12-28,52.39,14,Delayed
145,145,2023-05-22,126.9,3,Delayed
146,146,2023-04-13,373.31,2,On-time
147,147,2023-09-17,175.99,8,Delayed
148,148,2023-09-12,485.6,9,Delayed
149,149,2023-05-03,278.42,1,On-time
150,150,2023-05-14,368.25,-2,Early
151,151,2023-01-25,119.46,3,Delayed
152,152,2023-05-10,317.25,1,On-time
153,153,2023-09-04,110.49,3,Delayed
154,154,2023-03-16,140.78,4,Delayed
155,155,2023-12-25,164.59,7,Delayed
156,156,2023-06-22,102.51,2,On-time
157,157,2023-10-03,407.43,5,Delayed
158,158,2023-03-29,385.69,0,On-time
159,159,2023-05-13,378.89,-1,Early
160,160,2023-10-01,220.65,6,Delayed
161,161,2023-02-27,308.51,0,On-time
162,162,2023-07-19,387.73,7,Delayed
163,163,2023-04-01,123.92,9,Delayed
164,164,2024-01-04,335.19,2,On-time
165,165,2023-02-15,314.74,1,On-time
166,166,2023-10-14,247.61,1,On-time
167,167,2023-04-28,292.9,0,On-time
168,168,2024-01-15,454.81,-2,Early
169,169,2023-07-24,79.98,4,Delayed
170,170,2023-06-29,102.6,5,Delayed
171,171,2023-10-18,378.75,3,Delayed
172,172,2023-05-07,407.31,7,Delayed
173,173,2023-02-04,452.25,-2,Early
174,174,2024-01-11,388.58,6,Delayed
175,175,2023-09-12,114.41,4,Delayed
176,176,2023-02-06,393.11,1,On-time
177,177,2024-01-10,96.31,10,Delayed
178,178,2023-08-20,321.78,1,On-time
179,179,2023-02-07,153.16,5,Delayed
180,180,2023-05-08,55.49,11,Delayed
181,181,2023-07-21,294.23,0,On-time
182,182,2023-06-11,422.06,8,Delayed
183,183,2023-10-17,152.31,7,Delayed
184,184,2023-12-27,476.28,4,Delayed
185,185,2023-03-01,112.6,14,Delayed
186,186,2023-01-18,58.15,-1,Early
187,187,2023-03-21,96.0,9,Delayed
188,188,2023-10-31,60.36,3,Delayed
189,189,2023-05-29,218.5,9,Delayed
190,190,2023-12-02,381.4,6,Delayed
191,191,2023-07-05,459.81,7,Delayed
192,192,2023-06-21,493.18,-2,Early
193,193,2023-08-05,464.38,1,On-time
194,194,2024-01-11,316.07,3,Delayed
195,195,2023-06-14,384.91,2,On-time
196,196,2023-02-08,52.08,9,Delayed
197,197,2023-12-19,236.53,6,Delayed
198,198,2023-12-31,205.86,12,Delayed
199,199,2023-09-26,463.3,-1,Early
200,200,2023-12-08,460.74,8,Delayed
201,201,2023-08-30,274.27,3,Delayed
202,202,2023-12-10,190.16,3,Delayed
203,203,2023-09-21,55.89,8,Delayed
204,204,2023-11-09,488.99,2,On-time
205,205,2023-02-27,236.58,6,Delayed
206,206,2023-09-18,133.01,9,Delayed
207,207,2023-08-08,80.18,4,Delayed
208,208,2023-07-06,409.9,4,Delayed
209,209,2023-07-06,262.43,-2,Early
210,210,2023-11-14,182.32,5,Delayed
211,211,2023-10-04,285.98,0,On-time
212,212,2023-08-12,273.66,9,Delayed
213,213,2023-12-26,131.87,0,On-time
214,214,2023-09-26,217.99,9,Delayed
215,215,2023-06-28,286.96,9,Delayed
216,216,2023-05-21,120.27,-2,Early
217,217,2023-07-15,233.59,1,On-time
218,218,2023-07-14,153.98,6,Delayed
219,219,2023-07-05,317.77,8,Delayed
220,220,2023-06-14,130.35,8,Delayed
221,221,2023-03-13,374.37,-2,Early
222,222,2023-10-18,375.02,0,On-time
223,223,2023-09-19,483.19,7,Delayed
224,224,2023-10-05,142.24,1,On-time
225,225,2023-05-04,55.85,6,Delayed
226,226,2023-04-26,431.66,6,Delayed
227,227,2023-10-12,239.64,0,On-time
228,228,2023-02-27,331.14,4,Delayed
229,229,2023-03-20,220.86,8,Delayed
230,230,2023-11-12,423.79,4,Delayed
231,231,2023-09-06,298.42,2,On-time
232,232,2023-05-17,148.78,1,On-time
233,233,2023-08-09,113.05,9,Delayed
234,234,2023-12-02,493.42,7,Delayed
235,235,2023-11-09,241.35,6,Delayed
236,236,2023-03-28,383.76,0,On-time
237,237,2023-11-14,166.05,-1,Early
238,238,2023-10-20,239.77,3,Delayed
239,239,2023-06-23,127.26,7,Delayed
