supplier_id,supplier_name,country,reliability_score,lead_time_avg
1,Supplier_1,India,0.87,25
2,Supplier_2,Nigeria,0.7,6
3,Supplier_3,Germany,0.71,24
4,Supplier_4,Nigeria,0.85,19
5,Supplier_5,Nigeria,0.81,11
6,Supplier_6,USA,0.71,16
7,Supplier_7,Germany,0.97,12
8,Supplier_8,Germany,0.77,19
9,Supplier_9,Germany,0.73,7
10,Supplier_10,Nigeria,0.87,18
11,Supplier_11,India,0.81,21
12,Supplier_12,Germany,0.98,8
13,Supplier_13,Nigeria,0.83,22
14,Supplier_14,USA,0.94,12
15,Supplier_15,India,0.89,8
16,Supplier_16,USA,0.83,6
17,Supplier_17,India,0.7,10
18,Supplier_18,Nigeria,0.96,26
19,Supplier_19,China,0.86,14
20,Supplier_20,India,0.81,8
